method,claim_set,accuracy,ci_lo,ci_hi
b1,orig,0.7606685633001422,0.7460793029871977,0.7766714082503556
b1,nm,0.7814671814671814,0.7598262548262548,0.803088803088803
b2,orig,0.7400426742532006,0.7247510668563301,0.7560455192034139
b2,nm,0.8239382239382239,0.8038610038610039,0.8447876447876448
b3,orig,0.6714082503556188,0.6536273115220483,0.6891891891891891
b3,nm,0.43474903474903476,0.4069498069498069,0.46254826254826253
ours,orig,0.7005689900426743,0.6831436699857752,0.7169363442389758
ours,nm,0.46795366795366794,0.4416988416988417,0.4942084942084942
