model,method,n,accuracy,unverifiable_rate
Gemini 3.5 Flash-Lite (hosted),B1,8205,0.7614868982327849,0.0
Gemini 3.5 Flash-Lite (hosted),B2,8205,0.7642900670322974,0.0
Gemini 3.5 Flash-Lite (hosted),B3,8205,0.5853747714808044,0.11773308957952468
Gemini 3.5 Flash-Lite (hosted),OURS,8205,0.620109689213894,0.057038391224862886
Qwen2.5-7B-Instruct (local),B1,3752,0.7425373134328358,0.0
Qwen2.5-7B-Instruct (local),B2,3752,0.732409381663113,0.0
Qwen2.5-7B-Instruct (local),B3,3752,0.31396588486140725,0.5031982942430704
Qwen2.5-7B-Instruct (local),OURS,3752,0.4256396588486141,0.31982942430703626
