group,n,mean,std,median,p5,p95
overall,53472,0.9611614942550659,0.04462460055947304,0.9766165018081665,0.8710026741027832,0.997495710849762
digit_swap,9697,0.9412167072296143,0.05675806850194931,0.9593812823295593,0.8249682188034058,0.9949686527252197
magnitude_change,15123,0.9610922336578369,0.045478422194719315,0.976726770401001,0.8702102899551392,0.9973855018615723
off_by_one,13528,0.9756227731704712,0.02744968980550766,0.9852740168571472,0.9195649027824402,0.9983311295509338
round_number_change,15124,0.9610834121704102,0.042318277060985565,0.9752529263496399,0.8756476640701294,0.997110903263092
